"TotalCount","From","name"
"317","TW","Teresa Teng"
"140","HK","Eason Chan"
"114","HK","Faye Wong"
"82","TW","Jay Chou"
"75","TW","Mayday"
"71","FR","Daft Punk"
"66","TW","Yoga Lin"
"63","TW","Jonathan Lee"
"62","JP","Joe Hisaishi"
"61","TW","Sodagreen"
"61","TW","Bobby Chen"
"59","HK","Karen Mok"
"56","MD","Feng Wang"
"56","HK","Leslie Cheung"
"55","RS","Sainkho Namtchylak"
"55","SP","Stefani Sun"
"54","ML","Tanya Chua"
"54","US","Lana Del Rey"
"52","MD","Wei Xu"
"49","MD","Li Xiang"
"47","CA","Wanting Qu"
"47","MD","Jian Cui"
"46","TW","Chyi Chin"
"44","US","Adele"
"44","TW","Deserts Chang"
"44","UK","The Beatles"
"43","HK","Jacky Cheung"
"43","UK","John Lennon"
"43","MD","Quan Li"
"43","MD","Jingtong Dou"
"42","TW","David Tao"
"41","HK","A-Mei"
"40","GM","Hans Zimmer"
"39","IT","Ennio Morricone"
"39","TW","Aska Yang"
"39","MD","Jian Li"
"39","US","Dan Gibson"
"37","MD","GALA"
"37","TW","Rene Liu"
"36","ML","Fish Leong"
